station_id,I_ex370_em580,I_ex370_em640,I_ex370_em680,I_ex370_em730,I_ex470_em580,I_ex470_em640,I_ex470_em680,I_ex470_em730,I_ex525_em580,I_ex525_em640,I_ex525_em680,I_ex525_em730,I_ex570_em640,I_ex570_em680,I_ex570_em730,I_ex590_em640,I_ex590_em680,I_ex590_em730,I_ex600_em640,I_ex600_em680,I_ex600_em730,shape_I_ex370_em580,shape_I_ex370_em640,shape_I_ex370_em680,shape_I_ex370_em730,shape_I_ex470_em580,shape_I_ex470_em640,shape_I_ex470_em680,shape_I_ex470_em730,shape_I_ex525_em580,shape_I_ex525_em640,shape_I_ex525_em680,shape_I_ex525_em730,shape_I_ex570_em640,shape_I_ex570_em680,shape_I_ex570_em730,shape_I_ex590_em640,shape_I_ex590_em680,shape_I_ex590_em730,shape_I_ex600_em640,shape_I_ex600_em680,shape_I_ex600_em730,ratio470_log580_680,ratio470_log640_680,ratio470_log680_680
S14,5.941,3.725,6.157,13.194,4.471,3.359,8.278,3.428,3.535,2.912,5.046,2.727,3.153,3.586,3.286,3.938,4.54,2.592,3.147,3.101,2.519,0.2583319710460742,0.1619738414655153,0.26772427970555107,0.5737135206163783,0.19441209266907888,0.1460590962369573,0.3599515327923586,0.1490594170587346,0.15371208847801252,0.12662223526109545,0.21941476618389,0.11857789682589535,0.13710161668208584,0.1559297169115001,0.1428848437733378,0.17123570139361052,0.19741241349085623,0.11270770391372233,0.13684071921932256,0.13484050533813768,0.10953345145010283,,,0.0
S15,2.607,4.329,4.058,6.385,3.12,2.773,3.271,2.965,2.947,2.56,3.191,3.25,1.988,2.984,3.441,2.845,3.082,3.425,3.349,2.239,3.565,0.16876396661621282,0.28023751878848685,0.26269435233164234,0.41333253810683496,0.2019729865142248,0.1795099652576748,0.21174796118206066,0.1919390721200886,0.1907738433517373,0.16572142483218444,0.20656916665605488,0.21038852761898413,0.12869304397124323,0.193169035820015,0.22275289954982289,0.18417088033107998,0.19951305911437203,0.22171714064462172,0.21679728584491628,0.1449415117965863,0.23078003106513184,,,0.0
S16,4.123,3.334,4.034,6.587,4.173,3.221,5.887,3.093,3.39,4.605,4.174,2.594,3.642,4.411,3.121,3.421,3.305,3.549,3.429,3.746,2.557,0.2281245267969926,0.18446936025737892,0.22320017974753045,0.364457011402326,0.23089101390343197,0.1782170993968259,0.32572619191217445,0.17113489240434102,0.18756782581659104,0.2547934625030684,0.2309463436455608,0.14352535108207584,0.2015109208330456,0.24405949253008347,0.1726841251839471,0.18928304782258346,0.18286479773564407,0.1963652548150683,0.18972568575961377,0.20726521401443954,0.1414781506233107,,,0.0
S17,4.805,4.123,3.136,12.016,3.635,4.412,3.211,3.07,3.477,3.408,2.627,2.657,2.938,3.325,3.34,3.13,2.919,3.201,3.587,4.468,3.163,0.24436993538127708,0.20968517035941842,0.15948889018848803,0.6111028394467066,0.18486674612090367,0.2243829666809978,0.1633031971923581,0.15613230002508233,0.17683127269941734,0.17332211025585686,0.13360245998888967,0.1351281827904377,0.14941911969827099,0.16910094383824065,0.16986380523901465,0.1591837456281784,0.1484528285906239,0.16279462292517544,0.18242558963842684,0.2272309825772208,0.16086204070988125,0.12402669584177954,0.3177456861991043,0.0
S18,4.305,3.577,3.79,6.771,3.364,3.359,4.269,2.795,3.223,3.731,2.892,2.714,3.301,3.887,3.73,3.354,2.947,3.441,2.846,2.924,2.902,0.25867369022834963,0.21493049708404335,0.2277289862869791,0.40684774832431014,0.20213200788110758,0.20183157386225933,0.25651056529264216,0.16794261653617587,0.19365976854958672,0.22418386486456968,0.17377103650183207,0.1630755854308341,0.19834653924361956,0.2335574062526353,0.22412377806080003,0.20153113984341106,0.17707581070916292,0.20675869177137074,0.17100704352842813,0.17569381422246091,0.1743719045395286,,,0.0
S19,8.933,5.418,14.199,17.909,6.713,5.069,38.099,8.819,4.627,3.734,12.752,4.951,5.638,12.025,4.117,7.291,11.432,5.007,7.304,9.34,5.606,0.16232937998065075,0.09845523124763973,0.2580224858776738,0.3254401506854891,0.12198781235980169,0.09211324606760536,0.6923303535075352,0.16025778596768825,0.08408127629804892,0.06785378986317585,0.23172777941489517,0.08996896454541607,0.10245304425511126,0.21851682461293243,0.07481361887163765,0.1324911574430678,0.20774090137006598,0.09098658967459065,0.13272739184805477,0.16972533404447307,0.10187154418129722,,,0.0
S20,9.179,5.395,7.818,34.136,6.903,5.592,9.391,5.251,5.346,5.038,6.684,3.666,7.246,8.015,3.749,7.747,8.511,4.247,7.962,9.829,4.704,0.19983029347727932,0.11745118567490159,0.17020080993630782,0.7431536004074961,0.1502809146828259,0.12173995000816491,0.20444561347043577,0.11431625133992741,0.11638443718591733,0.10967916096944473,0.14551320204838597,0.07981020327788495,0.15774815410571585,0.17448957426957115,0.08161714459596035,0.16865511314614692,0.18528768142337118,0.09245879250441282,0.17333574427128204,0.21398103873931565,0.10240785494249066,,,0.0
S21,13.322,9.951,9.783,182.669,10.738,12.141,9.453,7.326,10.813,6.313,7.075,6.15,6.732,5.725,5.913,8.36,4.907,4.815,9.479,5.294,4.795,0.07145280674267901,0.053372382517369685,0.05247131124182772,0.979748743047473,0.05759347236172401,0.06511849021639889,0.050701349807727426,0.03929314383702646,0.05799573632401954,0.033859898586288295,0.037946900443210786,0.0329856449082327,0.03610721325564594,0.03070614912189141,0.031714490787378855,0.04483902299720737,0.0263187901731216,0.02582534637937243,0.050840801314656535,0.028394472218566485,0.025718075989426957,0.12745670054447117,0.25025600309517,0.0
S22,8.373,7.143,14.554,104.73,5.478,5.978,24.857,7.904,7.183,3.85,8.694,5.364,3.993,6.169,4.21,5.567,7.118,4.358,5.805,5.601,3.519,0.07498639368495423,0.0639708360314855,0.13034180982811705,0.9379344333721794,0.04905953237861929,0.05353740134344398,0.22261277771729457,0.07078615259594868,0.06432906554867147,0.0344795910291501,0.07786118556037169,0.04803857825463926,0.035760261553089964,0.055247947288007006,0.03770365668382388,0.049856593054358085,0.06374694258324427,0.039029105897411986,0.051988058681614636,0.050161088143966165,0.03151524177443616,,,0.0
S23,3.947,3.6,5.034,8.37,4.148,2.618,6.5,3.277,3.154,3.324,4.829,3.098,4.625,4.6,3.305,3.508,5.208,2.857,4.264,4.18,2.626,0.19771751336574245,0.1803352034752148,0.25216872619284203,0.4192793480798744,0.2077862288931086,0.1311437674161423,0.3256052284969156,0.16415512827452192,0.15799367548911875,0.166509504542115,0.24189963821717006,0.1551884612128376,0.23168064335357458,0.23042831555166335,0.1655577354126625,0.17572663716418155,0.26088492769414406,0.14311602120241354,0.21359702989397666,0.20938920847955494,0.1315445123127539,,,0.0
S24,3.471,4.294,4.563,18.744,4.232,3.524,5.713,3.25,3.577,4.078,3.301,2.52,3.426,3.322,2.816,3.921,3.888,3.116,3.346,3.403,2.609,0.1390256031773506,0.17198961107563912,0.18276399518820244,0.7507622892412156,0.16950629577831972,0.14114843722183332,0.22882548860622412,0.13017378574658295,0.14327127126631606,0.16333806100755854,0.13221651284599087,0.10093475079427355,0.13722319691316714,0.13305763576927648,0.11279057866534695,0.15704966581918514,0.1557279012254506,0.12480662042657,0.13401891911017433,0.1363019670448067,0.10449950985010305,,,0.0
S25,6.443,4.231,4.301,22.615,4.562,3.557,4.395,3.887,3.351,3.631,4.535,3.449,3.952,3.594,3.17,3.959,4.107,3.221,4.055,4.061,3.687,0.22202155941756405,0.14579748842087747,0.14820964256634225,0.7792980857097953,0.1572035315944323,0.12257188993454529,0.15144882099025206,0.1339434737631649,0.11547326487789185,0.1251218814597509,0.1562731292811816,0.11885028068154252,0.13618333118395362,0.1238468856971481,0.10923612344461867,0.1364245465985001,0.14152452964891132,0.11099355003631443,0.13973264371228034,0.1399393997818916,0.1270516047761227,0.03729359271672701,,0.0
S26,4.587,3.167,4.916,18.613,4.567,4.134,6.109,3.057,4.415,4.316,3.889,3.237,3.902,4.621,3.439,3.093,3.302,2.796,3.218,3.137,2.943,0.17915134115318712,0.1236913663466631,0.19200087052737477,0.726955289488614,0.17837021474746145,0.16145882806350026,0.2385950606289122,0.11939517111517181,0.1724336540639462,0.16856707835560403,0.15189002959336054,0.12642530876670302,0.15239776175708225,0.18047925604292084,0.1343146854645325,0.12080119864547804,0.12896396958531153,0.10920147152045154,0.1256832386812636,0.12251967673807457,0.11494275060253538,,,0.0
S27,4.714,3.943,4.709,16.042,4.387,4.31,5.539,3.229,4.136,3.546,4.197,3.16,3.716,3.6,3.254,3.867,3.886,3.674,4.013,3.775,3.275,0.1965036978452891,0.16436446342892974,0.19629527220056558,0.6687128385307866,0.18287266068037403,0.17966290575163255,0.2308939292246619,0.134601281362418,0.17240969331525577,0.1478154672378861,0.1749524861808821,0.1317250074652341,0.15490193915848413,0.15006646420089959,0.13564340958603535,0.161196393629133,0.16198841107908218,0.15315116374280696,0.16728242245505834,0.1573613617662211,0.13651879729387392,,,0.0
S28,4.273,4.096,4.144,20.114,3.313,4.234,6.009,4.184,4.106,3.722,3.875,3.581,3.482,3.568,3.145,4.364,4.027,4.226,3.922,3.961,3.707,0.1580934918885791,0.15154480289623687,0.15332071855517712,0.7441826575817647,0.12257517870977361,0.15665056041569014,0.22232244155358577,0.1548006482709607,0.15191478532518274,0.13770746005366055,0.14336819121653266,0.13249070780552347,0.12882788175895918,0.1320097306478938,0.11635947390348264,0.16146033199198673,0.14899192413651022,0.15635457447253343,0.14510710863257836,0.14655004010546732,0.1371524864102417,,,0.0
S30,4.262,3.371,2.984,4.218,3.999,3.816,3.124,3.101,3.073,2.509,2.869,2.422,3.168,2.966,2.254,3.788,3.145,2.178,3.139,3.593,2.933,0.28717944727933015,0.22714263650366542,0.20106604192433628,0.284214666500285,0.26945814398640106,0.2571273512008268,0.2104994353122073,0.20894966354134276,0.20706298486376856,0.1690598857869168,0.1933171830700137,0.1631977056101684,0.21346421609125246,0.19985317706018144,0.1518776335447232,0.2552406725232526,0.21191444432038795,0.14675664856273607,0.2115101560323363,0.24210130316157516,0.19762959147589754,0.24693009781720188,0.2000885215505526,0.0
